Date,ARIMA_Forecast,RNN_Forecast,Symbol
2024-11-08,392.5568256585619,,CHTR
2024-11-11,388.45720605485684,,CHTR
2024-11-12,388.8356366740839,,CHTR
2024-11-13,389.43881904305937,,CHTR
2024-11-14,389.51034010281535,,CHTR
2024-11-15,390.1401562956418,,CHTR
2024-11-18,390.3569708774693,,CHTR
2024-11-19,390.2859806498664,,CHTR
2024-11-20,390.2593477504472,,CHTR
2024-11-21,390.1737475548023,,CHTR
2024-11-22,390.1047911524737,,CHTR
2024-11-25,390.09621809547804,,CHTR
2024-11-26,390.09952448108953,,CHTR
2024-11-27,390.1107513624294,,CHTR
2024-11-28,390.12492318834524,,CHTR
2024-11-29,390.13083983794604,,CHTR
2024-12-02,390.13176860902036,,CHTR
2024-12-03,390.13060736798684,,CHTR
2024-12-04,390.1282236323626,,CHTR
2024-12-05,390.1265499180307,,CHTR
2024-12-06,390.1259381685408,,CHTR
2024-12-09,390.12591698017917,,CHTR
2024-12-10,390.126241829514,,CHTR
2024-12-11,390.1265938352006,,CHTR
2024-12-12,390.1267903463628,,CHTR
2024-12-13,390.12685194416235,,CHTR
2024-12-16,390.1268258326717,,CHTR
2024-12-17,390.1267663316213,,CHTR
2024-12-18,390.12671908372255,,CHTR
2024-12-19,390.1266959058454,,CHTR
