Symbol,Date,Predicted Close
COST,2024-11-08,741.2553480304127
COST,2024-11-11,740.5996028894
COST,2024-11-12,739.9391525744973
COST,2024-11-13,739.2741459358451
COST,2024-11-14,738.6047319534251
COST,2024-11-15,737.9310596913886
COST,2024-11-18,737.2532782524373
COST,2024-11-19,736.5715367322848
COST,2024-11-20,735.885984174215
COST,2024-11-21,735.1967695237666
COST,2024-11-22,734.5040415835635
COST,2024-11-25,733.8079489683148
COST,2024-11-26,733.1086400600082
COST,2024-11-27,732.4062629633178
COST,2024-11-28,731.7009654612511
COST,2024-11-29,730.9928949710563
COST,2024-12-02,730.2821985004119
COST,2024-12-03,729.5690226039228
COST,2024-12-04,728.853513339942
COST,2024-12-05,728.1358162277427
COST,2024-12-06,727.4160762050594
COST,2024-12-09,726.6944375860216
COST,2024-12-10,725.9710440194991
COST,2024-12-11,725.246038447881
COST,2024-12-12,724.5195630663086
COST,2024-12-13,723.7917592823812
COST,2024-12-16,723.0627676763551
COST,2024-12-17,722.332727961856
COST,2024-12-18,721.6017789471223
COST,2024-12-19,720.8700584967985
