,0
symbol,BK
basic_statistics_mean,52.4004473854747
basic_statistics_std,11.221240244819926
basic_statistics_min,37.810791015625
basic_statistics_max,81.87000274658203
basic_statistics_median,49.94754409790039
basic_statistics_skewness,-0.5180341693586438
basic_statistics_kurtosis,3.4226097046105357
stationarity_test_test_statistic,1.7405116720355256
stationarity_test_p_value,0.998223437026512
stationarity_test_is_stationary,False
stationarity_test_critical_values,"{'1%': -3.4440471158221206, '5%': -2.867580197120949, '10%': -2.5699871918402777}"
volatility_analysis_annual_volatility,0.21252212585050814
volatility_analysis_max_volatility,0.45311928248526945
volatility_analysis_min_volatility,0.1026144779947374
volatility_analysis_avg_volatility,0.20340697371555894
analysis_period_start_date,2023-01-03 00:00:00
analysis_period_end_date,2024-11-29 00:00:00
analysis_period_trading_days,481
visualization_files_price_analysis,analysis\visualizations\BK_price_analysis.png
visualization_files_trend_analysis,analysis\visualizations\BK_trend_analysis.png
visualization_files_seasonality_analysis,analysis\visualizations\BK_seasonality_analysis.png
