,0
symbol,CLX
basic_statistics_mean,144.13907940521557
basic_statistics_std,11.902298821559178
basic_statistics_min,111.63802337646484
basic_statistics_max,169.3000030517578
basic_statistics_median,145.2436065673828
basic_statistics_skewness,1.4792992996021408
basic_statistics_kurtosis,9.521972196897146
stationarity_test_test_statistic,-1.4707229325174422
stationarity_test_p_value,0.547941394317706
stationarity_test_is_stationary,False
stationarity_test_critical_values,"{'1%': -3.4440471158221206, '5%': -2.867580197120949, '10%': -2.5699871918402777}"
volatility_analysis_annual_volatility,0.22870288050473878
volatility_analysis_max_volatility,0.41833672914766473
volatility_analysis_min_volatility,0.10496094537091193
volatility_analysis_avg_volatility,0.21711538864532642
analysis_period_start_date,2023-01-03 00:00:00
analysis_period_end_date,2024-11-29 00:00:00
analysis_period_trading_days,481
visualization_files_price_analysis,analysis\visualizations\CLX_price_analysis.png
visualization_files_trend_analysis,analysis\visualizations\CLX_trend_analysis.png
visualization_files_seasonality_analysis,analysis\visualizations\CLX_seasonality_analysis.png
