,0
symbol,CTRA
basic_statistics_mean,24.942711657645052
basic_statistics_std,1.6614949186425219
basic_statistics_min,21.270824432373047
basic_statistics_max,28.54904556274414
basic_statistics_median,24.72372055053711
basic_statistics_skewness,0.09716365558688105
basic_statistics_kurtosis,1.3323424296253625
stationarity_test_test_statistic,-2.9465811872010077
stationarity_test_p_value,0.04019321430582909
stationarity_test_is_stationary,True
stationarity_test_critical_values,"{'1%': -3.4440471158221206, '5%': -2.867580197120949, '10%': -2.5699871918402777}"
volatility_analysis_annual_volatility,0.25807305941906744
volatility_analysis_max_volatility,0.4642349579530362
volatility_analysis_min_volatility,0.13642151707612293
volatility_analysis_avg_volatility,0.2502260558822092
analysis_period_start_date,2023-01-03 00:00:00
analysis_period_end_date,2024-11-29 00:00:00
analysis_period_trading_days,481
visualization_files_price_analysis,analysis\visualizations\CTRA_price_analysis.png
visualization_files_trend_analysis,analysis\visualizations\CTRA_trend_analysis.png
visualization_files_seasonality_analysis,analysis\visualizations\CTRA_seasonality_analysis.png
