,0
symbol,CTVA
basic_statistics_mean,54.356978354979454
basic_statistics_std,4.717362053476508
basic_statistics_min,43.01696014404297
basic_statistics_max,64.12999725341797
basic_statistics_median,55.043453216552734
basic_statistics_skewness,2.1812737395000314
basic_statistics_kurtosis,27.876699430508957
stationarity_test_test_statistic,-1.8940345681439157
stationarity_test_p_value,0.33487262128135353
stationarity_test_is_stationary,False
stationarity_test_critical_values,"{'1%': -3.4440471158221206, '5%': -2.867580197120949, '10%': -2.5699871918402777}"
volatility_analysis_annual_volatility,0.28023744375331977
volatility_analysis_max_volatility,0.710050737189579
volatility_analysis_min_volatility,0.10165551545996995
volatility_analysis_avg_volatility,0.25785569914857415
analysis_period_start_date,2023-01-03 00:00:00
analysis_period_end_date,2024-11-29 00:00:00
analysis_period_trading_days,481
visualization_files_price_analysis,analysis\visualizations\CTVA_price_analysis.png
visualization_files_trend_analysis,analysis\visualizations\CTVA_trend_analysis.png
visualization_files_seasonality_analysis,analysis\visualizations\CTVA_seasonality_analysis.png
