,0
symbol,C
basic_statistics_mean,51.256550620350666
basic_statistics_std,9.12672211193002
basic_statistics_min,36.394893646240234
basic_statistics_max,70.87000274658203
basic_statistics_median,48.43671798706055
basic_statistics_skewness,0.04848616900077363
basic_statistics_kurtosis,3.2823441740106585
stationarity_test_test_statistic,-0.1680076814124219
stationarity_test_p_value,0.9422291255847981
stationarity_test_is_stationary,False
stationarity_test_critical_values,"{'1%': -3.4440471158221206, '5%': -2.867580197120949, '10%': -2.5699871918402777}"
volatility_analysis_annual_volatility,0.2614891982445056
volatility_analysis_max_volatility,0.4919969597390987
volatility_analysis_min_volatility,0.13324521442517587
volatility_analysis_avg_volatility,0.2516645360547397
analysis_period_start_date,2023-01-03 00:00:00
analysis_period_end_date,2024-11-29 00:00:00
analysis_period_trading_days,481
visualization_files_price_analysis,analysis\visualizations\C_price_analysis.png
visualization_files_trend_analysis,analysis\visualizations\C_trend_analysis.png
visualization_files_seasonality_analysis,analysis\visualizations\C_seasonality_analysis.png
