,0
symbol,GEHC
basic_statistics_mean,78.28561976347545
basic_statistics_std,7.799320534088186
basic_statistics_min,55.85169219970703
basic_statistics_max,93.81900024414062
basic_statistics_median,78.51494598388672
basic_statistics_skewness,-0.1481694746405079
basic_statistics_kurtosis,11.232066222324587
stationarity_test_test_statistic,-2.6127913096800834
stationarity_test_p_value,0.0903822772716365
stationarity_test_is_stationary,False
stationarity_test_critical_values,"{'1%': -3.44407586647939, '5%': -2.867592847097137, '10%': -2.5699939338217668}"
volatility_analysis_annual_volatility,0.2982445653457614
volatility_analysis_max_volatility,0.5691927621244899
volatility_analysis_min_volatility,0.14681018265307716
volatility_analysis_avg_volatility,0.2723935424670648
analysis_period_start_date,2023-01-03 00:00:00
analysis_period_end_date,2024-11-29 00:00:00
analysis_period_trading_days,481
visualization_files_price_analysis,analysis\visualizations\GEHC_price_analysis.png
visualization_files_trend_analysis,analysis\visualizations\GEHC_trend_analysis.png
visualization_files_seasonality_analysis,analysis\visualizations\GEHC_seasonality_analysis.png
