,0
symbol,GIS
basic_statistics_mean,69.21713823092455
basic_statistics_std,6.612244229848556
basic_statistics_min,59.37742614746094
basic_statistics_max,85.94420623779297
basic_statistics_median,68.22000122070312
basic_statistics_skewness,-0.22872085240240483
basic_statistics_kurtosis,1.9589509225312742
stationarity_test_test_statistic,-1.6174029159290197
stationarity_test_p_value,0.47409110963087786
stationarity_test_is_stationary,False
stationarity_test_critical_values,"{'1%': -3.4440471158221206, '5%': -2.867580197120949, '10%': -2.5699871918402777}"
volatility_analysis_annual_volatility,0.18457897879986346
volatility_analysis_max_volatility,0.2550059594421551
volatility_analysis_min_volatility,0.07527905530520908
volatility_analysis_avg_volatility,0.17818245861227494
analysis_period_start_date,2023-01-03 00:00:00
analysis_period_end_date,2024-11-29 00:00:00
analysis_period_trading_days,481
visualization_files_price_analysis,analysis\visualizations\GIS_price_analysis.png
visualization_files_trend_analysis,analysis\visualizations\GIS_trend_analysis.png
visualization_files_seasonality_analysis,analysis\visualizations\GIS_seasonality_analysis.png
