,0
symbol,GOOG
basic_statistics_mean,140.26859851289936
basic_statistics_std,26.6745676840983
basic_statistics_min,86.55742645263672
basic_statistics_max,192.40672302246094
basic_statistics_median,138.48989868164062
basic_statistics_skewness,-0.15993426282795245
basic_statistics_kurtosis,4.679971658534887
stationarity_test_test_statistic,-1.6013895205157567
stationarity_test_p_value,0.48289543014947706
stationarity_test_is_stationary,False
stationarity_test_critical_values,"{'1%': -3.4440471158221206, '5%': -2.867580197120949, '10%': -2.5699871918402777}"
volatility_analysis_annual_volatility,0.2888055719177203
volatility_analysis_max_volatility,0.5574150852454725
volatility_analysis_min_volatility,0.14854777283276038
volatility_analysis_avg_volatility,0.27761398093211476
analysis_period_start_date,2023-01-03 00:00:00
analysis_period_end_date,2024-11-29 00:00:00
analysis_period_trading_days,481
visualization_files_price_analysis,analysis\visualizations\GOOG_price_analysis.png
visualization_files_trend_analysis,analysis\visualizations\GOOG_trend_analysis.png
visualization_files_seasonality_analysis,analysis\visualizations\GOOG_seasonality_analysis.png
