,0
symbol,HWM
basic_statistics_mean,63.014418770518475
basic_statistics_std,22.042493256132285
basic_statistics_min,38.1698112487793
basic_statistics_max,118.44000244140625
basic_statistics_median,53.027976989746094
basic_statistics_skewness,2.4223613587927555
basic_statistics_kurtosis,18.526083046985665
stationarity_test_test_statistic,1.5562738370400881
stationarity_test_p_value,0.9977202799173598
stationarity_test_is_stationary,False
stationarity_test_critical_values,"{'1%': -3.444250937448703, '5%': -2.867669873870454, '10%': -2.5700349866579657}"
volatility_analysis_annual_volatility,0.2918626563675485
volatility_analysis_max_volatility,0.6236738235343374
volatility_analysis_min_volatility,0.12553098962406517
volatility_analysis_avg_volatility,0.2658950893219563
analysis_period_start_date,2023-01-03 00:00:00
analysis_period_end_date,2024-11-29 00:00:00
analysis_period_trading_days,481
visualization_files_price_analysis,analysis\visualizations\HWM_price_analysis.png
visualization_files_trend_analysis,analysis\visualizations\HWM_trend_analysis.png
visualization_files_seasonality_analysis,analysis\visualizations\HWM_seasonality_analysis.png
