,0
symbol,ISRG
basic_statistics_mean,358.57241161449537
basic_statistics_std,84.45563304648584
basic_statistics_min,224.75
basic_statistics_max,550.6199951171875
basic_statistics_median,336.6600036621094
basic_statistics_skewness,1.2044598996476403
basic_statistics_kurtosis,7.816665160038029
stationarity_test_test_statistic,0.7788509240852676
stationarity_test_p_value,0.9912869974397905
stationarity_test_is_stationary,False
stationarity_test_critical_values,"{'1%': -3.444162847239118, '5%': -2.8676311169658177, '10%': -2.5700143303792107}"
volatility_analysis_annual_volatility,0.28100216575593284
volatility_analysis_max_volatility,0.44719917544533716
volatility_analysis_min_volatility,0.12846293510707477
volatility_analysis_avg_volatility,0.2690066430267578
analysis_period_start_date,2023-01-03 00:00:00
analysis_period_end_date,2024-11-29 00:00:00
analysis_period_trading_days,481
visualization_files_price_analysis,analysis\visualizations\ISRG_price_analysis.png
visualization_files_trend_analysis,analysis\visualizations\ISRG_trend_analysis.png
visualization_files_seasonality_analysis,analysis\visualizations\ISRG_seasonality_analysis.png
