,0
symbol,LULU
basic_statistics_mean,359.2180663364593
basic_statistics_std,67.34551099466835
basic_statistics_min,233.39999389648438
basic_statistics_max,511.2900085449219
basic_statistics_median,363.5400085449219
basic_statistics_skewness,-0.16139150762104576
basic_statistics_kurtosis,11.449678713263761
stationarity_test_test_statistic,-1.348388932754926
stationarity_test_p_value,0.6067540803411782
stationarity_test_is_stationary,False
stationarity_test_critical_values,"{'1%': -3.4441920863262863, '5%': -2.8676439813617147, '10%': -2.570021186703601}"
volatility_analysis_annual_volatility,0.34438885430546157
volatility_analysis_max_volatility,0.6080525055310595
volatility_analysis_min_volatility,0.14605924240309967
volatility_analysis_avg_volatility,0.3203901434244771
analysis_period_start_date,2023-01-03 00:00:00
analysis_period_end_date,2024-11-29 00:00:00
analysis_period_trading_days,481
visualization_files_price_analysis,analysis\visualizations\LULU_price_analysis.png
visualization_files_trend_analysis,analysis\visualizations\LULU_trend_analysis.png
visualization_files_seasonality_analysis,analysis\visualizations\LULU_seasonality_analysis.png
