,0
symbol,MET
basic_statistics_mean,65.79601494834725
basic_statistics_std,8.999428892590993
basic_statistics_min,46.83650207519531
basic_statistics_max,88.25
basic_statistics_median,66.94056701660156
basic_statistics_skewness,-0.7370375138738832
basic_statistics_kurtosis,3.8981265727227132
stationarity_test_test_statistic,0.07613071444923712
stationarity_test_p_value,0.9643931314460679
stationarity_test_is_stationary,False
stationarity_test_critical_values,"{'1%': -3.4440471158221206, '5%': -2.867580197120949, '10%': -2.5699871918402777}"
volatility_analysis_annual_volatility,0.24690667832979105
volatility_analysis_max_volatility,0.494204224609543
volatility_analysis_min_volatility,0.10390183288291353
volatility_analysis_avg_volatility,0.230917931092875
analysis_period_start_date,2023-01-03 00:00:00
analysis_period_end_date,2024-11-29 00:00:00
analysis_period_trading_days,481
visualization_files_price_analysis,analysis\visualizations\MET_price_analysis.png
visualization_files_trend_analysis,analysis\visualizations\MET_trend_analysis.png
visualization_files_seasonality_analysis,analysis\visualizations\MET_seasonality_analysis.png
