,0
symbol,ORLY
basic_statistics_mean,993.8894814473427
basic_statistics_std,112.12754769215299
basic_statistics_min,771.1699829101562
basic_statistics_max,1244.219970703125
basic_statistics_median,968.9600219726562
basic_statistics_skewness,-0.020977760999897063
basic_statistics_kurtosis,2.719166404953775
stationarity_test_test_statistic,-0.5720877535327292
stationarity_test_p_value,0.8771651481081505
stationarity_test_is_stationary,False
stationarity_test_critical_values,"{'1%': -3.4440471158221206, '5%': -2.867580197120949, '10%': -2.5699871918402777}"
volatility_analysis_annual_volatility,0.19850392714836476
volatility_analysis_max_volatility,0.2941219952744111
volatility_analysis_min_volatility,0.11309592731636817
volatility_analysis_avg_volatility,0.1944170625434085
analysis_period_start_date,2023-01-03 00:00:00
analysis_period_end_date,2024-11-29 00:00:00
analysis_period_trading_days,481
visualization_files_price_analysis,analysis\visualizations\ORLY_price_analysis.png
visualization_files_trend_analysis,analysis\visualizations\ORLY_trend_analysis.png
visualization_files_seasonality_analysis,analysis\visualizations\ORLY_seasonality_analysis.png
