,0
symbol,PNR
basic_statistics_mean,71.41190249310213
basic_statistics_std,14.88739602888191
basic_statistics_min,44.00373077392578
basic_statistics_max,109.11000061035156
basic_statistics_median,69.36387634277344
basic_statistics_skewness,0.6999349988873631
basic_statistics_kurtosis,5.256162594216913
stationarity_test_test_statistic,0.015785155365700146
stationarity_test_p_value,0.9598182015005761
stationarity_test_is_stationary,False
stationarity_test_critical_values,"{'1%': -3.4440471158221206, '5%': -2.867580197120949, '10%': -2.5699871918402777}"
volatility_analysis_annual_volatility,0.2689372001088391
volatility_analysis_max_volatility,0.5058716981871973
volatility_analysis_min_volatility,0.10338171366662302
volatility_analysis_avg_volatility,0.2564922271672101
analysis_period_start_date,2023-01-03 00:00:00
analysis_period_end_date,2024-11-29 00:00:00
analysis_period_trading_days,481
visualization_files_price_analysis,analysis\visualizations\PNR_price_analysis.png
visualization_files_trend_analysis,analysis\visualizations\PNR_trend_analysis.png
visualization_files_seasonality_analysis,analysis\visualizations\PNR_seasonality_analysis.png
