,0
symbol,SWKS
basic_statistics_mean,100.88629623064132
basic_statistics_std,7.5326130125313355
basic_statistics_min,83.18000030517578
basic_statistics_max,119.89817810058594
basic_statistics_median,101.83999633789062
basic_statistics_skewness,-0.40898013746607287
basic_statistics_kurtosis,7.781660839298193
stationarity_test_test_statistic,-3.279591233865384
stationarity_test_p_value,0.01581576171707855
stationarity_test_is_stationary,True
stationarity_test_critical_values,"{'1%': -3.4440471158221206, '5%': -2.867580197120949, '10%': -2.5699871918402777}"
volatility_analysis_annual_volatility,0.34174694653529103
volatility_analysis_max_volatility,0.6203580659734726
volatility_analysis_min_volatility,0.17392663533131217
volatility_analysis_avg_volatility,0.3285166856673651
analysis_period_start_date,2023-01-03 00:00:00
analysis_period_end_date,2024-11-29 00:00:00
analysis_period_trading_days,481
visualization_files_price_analysis,analysis\visualizations\SWKS_price_analysis.png
visualization_files_trend_analysis,analysis\visualizations\SWKS_trend_analysis.png
visualization_files_seasonality_analysis,analysis\visualizations\SWKS_seasonality_analysis.png
