,0
symbol,SWK
basic_statistics_mean,86.56259125136536
basic_statistics_std,8.422333565831694
basic_statistics_min,69.66886901855469
basic_statistics_max,109.12401580810547
basic_statistics_median,86.1666488647461
basic_statistics_skewness,0.35829972297896084
basic_statistics_kurtosis,2.1305567028998302
stationarity_test_test_statistic,-2.7724675529979974
stationarity_test_p_value,0.06231547815959379
stationarity_test_is_stationary,False
stationarity_test_critical_values,"{'1%': -3.44407586647939, '5%': -2.867592847097137, '10%': -2.5699939338217668}"
volatility_analysis_annual_volatility,0.33287363053483293
volatility_analysis_max_volatility,0.5589495056482432
volatility_analysis_min_volatility,0.1409070613705287
volatility_analysis_avg_volatility,0.3223264406167393
analysis_period_start_date,2023-01-03 00:00:00
analysis_period_end_date,2024-11-29 00:00:00
analysis_period_trading_days,481
visualization_files_price_analysis,analysis\visualizations\SWK_price_analysis.png
visualization_files_trend_analysis,analysis\visualizations\SWK_trend_analysis.png
visualization_files_seasonality_analysis,analysis\visualizations\SWK_seasonality_analysis.png
