,0
symbol,TGT
basic_statistics_mean,141.34926931972066
basic_statistics_std,16.921382518575786
basic_statistics_min,100.9389419555664
basic_statistics_max,173.97579956054688
basic_statistics_median,145.54107666015625
basic_statistics_skewness,-0.3647688924944961
basic_statistics_kurtosis,30.18229601349678
stationarity_test_test_statistic,-1.9622543272534587
stationarity_test_p_value,0.3033644341252048
stationarity_test_is_stationary,False
stationarity_test_critical_values,"{'1%': -3.4440471158221206, '5%': -2.867580197120949, '10%': -2.5699871918402777}"
volatility_analysis_annual_volatility,0.34732121787617204
volatility_analysis_max_volatility,0.8218383611034165
volatility_analysis_min_volatility,0.15326136385146802
volatility_analysis_avg_volatility,0.29689470603522494
analysis_period_start_date,2023-01-03 00:00:00
analysis_period_end_date,2024-11-29 00:00:00
analysis_period_trading_days,481
visualization_files_price_analysis,analysis\visualizations\TGT_price_analysis.png
visualization_files_trend_analysis,analysis\visualizations\TGT_trend_analysis.png
visualization_files_seasonality_analysis,analysis\visualizations\TGT_seasonality_analysis.png
