,0
symbol,VRSN
basic_statistics_mean,198.16688160093312
basic_statistics_std,15.63534197182669
basic_statistics_min,168.32000732421875
basic_statistics_max,228.5399932861328
basic_statistics_median,200.2899932861328
basic_statistics_skewness,-0.42912423849090686
basic_statistics_kurtosis,2.957743995655944
stationarity_test_test_statistic,-1.5714815585025839
stationarity_test_p_value,0.4979014975203995
stationarity_test_is_stationary,False
stationarity_test_critical_values,"{'1%': -3.4440471158221206, '5%': -2.867580197120949, '10%': -2.5699871918402777}"
volatility_analysis_annual_volatility,0.18673740971719263
volatility_analysis_max_volatility,0.3044706272122276
volatility_analysis_min_volatility,0.08616666319239782
volatility_analysis_avg_volatility,0.17781934662609739
analysis_period_start_date,2023-01-03 00:00:00
analysis_period_end_date,2024-11-29 00:00:00
analysis_period_trading_days,481
visualization_files_price_analysis,analysis\visualizations\VRSN_price_analysis.png
visualization_files_trend_analysis,analysis\visualizations\VRSN_trend_analysis.png
visualization_files_seasonality_analysis,analysis\visualizations\VRSN_seasonality_analysis.png
